projectAckNo,promoterType,projRegNo,promoterEmailId,formOneId,formTwoId,certificateId,projectType,certificateUid,projRegId,promoterId,approvedDate,promoterName,appSubmissionDate,projectName,formThreeId,wfoId
PR/GANDHINAGAR/KALOL/AUDA/170720/000112,COMPANY,PR/GJ/GANDHINAGAR/KALOL/AUDA/MAA00023/EX1/100119,supercity.luxuria2@gmail.com,16348,18617,303496,Mixed Development,IYKCU6VLGGFN890HPEH5OJC45N2URSJINZYSV7LNV2LG2JA2BD,198,13575,2017-08-29 00:00:00,SHRINIVAS ORGANISORS PRIVATE LIMITED,2017-07-20 00:00:00,SUPER CITY PHASE 1,265740,198
PR/AHMEDABAD/AHMADABAD CITY/AHMEDABAD TPO/170725/000177,PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00045/010917,thefirstrera@gmail.com,7651,10032,83518,Commercial,JTDQ6PBWY6YHRK1P3INABJ57N0CYCUHBWHUWVHVGLG7PCSTP9R,312,502,2017-01-09 00:00:00,Synthesis Corporation,2017-07-25 00:00:00,THE FIRST,239188,312
PR/AHMEDABAD/AHMADABAD CITY/AHMEDABAD TPO/170730/000243,COMPANY,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00012/240817,rera@ganeshhousing.net,11606,13113,83437,Mixed Development,F21G5ZHZN5OX5OAXYMC9C9X1VMMJA7KWIA3WG31QWINWFNEFZQ,344,543,2017-08-24 00:00:00,Essem Infra Private Limited,2017-07-30 00:00:00,MAPLE TREE,238469,344
PR/AHMEDABAD/AHMADABAD CITY/AUDA/170729/000237,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00003/210817,sumel8.rera@hnsafal.com,179,136,83395,Commercial,GMUCWGJAB8GM2A1D69RZNVHDXNI46E765G6LY7G7YAEP9PJVB3,389,610,2017-08-21 00:00:00,HN SAFAL REALTECH LLP,2017-07-29 00:00:00,Sumel-8,240923,389
PR/AHMEDABAD/AHMADABAD CITY/AHMEDABAD TPO/170728/000291,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00002/210817,one42farpoint@gmail.com,19320,22533,83430,Commercial,0JBMHTCTJ1T51BKTLN2TR0Q2F1YPOZS9ACL39RNL6L1BBPTL1V,475,744,2017-08-21 00:00:00,FARPOINT PROPERTIES LLP,2017-07-28 00:00:00,ONE42,238348,475
PR/AHMEDABAD/SANAND/AUDA/170731/000923,COMPANY,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00482/A1R/240120,custinfo@applewoods.co.in,83318,84792,469852,Residential/Group Housing,PNKRRLMHW8CFXJOXC6ZWESHM09Y6B69Q0SR6DCS635XCZ403DF,728,1097,2017-10-17 00:00:00,APPLEWOODS ESTATE PRIVATE LIMITED,2017-07-31 00:00:00,APPLEWOODS VILLAS,308494,728
PR/AHMEDABAD/AHMADABAD CITY/AHMEDABAD TPO/170729/000582,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01158/301217,yash.s@bsafal.com,17929,20545,188241,Mixed Development,NY52997GQMDWM3UXP9ICCMKOAGDZYO71CHEYTC5IV1WU8J2X9T,788,1178,2017-12-30 00:00:00,SKZ DEVELOPERS LLP,2017-07-29 00:00:00,PAARIJAT ECLAT AND PRIVILON,238391,788
PR/GANDHINAGAR/GANDHINAGAR/GANDHINAGAR TPO/170801/001238,COMPANY,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA00788/EX1/180923,rera.wtcgiftabd@gmail.com,117913,119059,469920,Commercial, ,978,1431,2017-11-21 00:00:00,WTC Noida Development Company Pvt Ltd,2017-08-01 00:00:00,"WTC GIFT  Tower A, B & D",342887,978
PR/SURAT/SURAT CITY/SUDA/170731/000762,PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/CAA00100/070917,raghuvirsierra@gmail.com,115646,116792,469922,Commercial,TK99TNWBJK9XOT7094LV0X6IMY7I417YFD7XJ9GP7ZH5E2K1TT,983,18021,2017-07-09 00:00:00,RAGHUVIR DEVELOPERS & BUILDERS,2017-07-31 00:00:00,Raghuvir Scarlett,340620,983
PR/SURAT/SURAT CITY/SURAT TPO/170730/000796,PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/RAA00206/210917,happyexcelencia@sutarwala.in,8915,9824,105009,Residential/Group Housing,YQV0JBVMPFN4EJWKMXMKGMSE2D7H5D4PF15OES6SW25YNOG677,1031,1496,2017-09-21 00:00:00,HAPPY HOME CORPORATION,2017-07-30 00:00:00,HAPPY EXCELENCIA,239169,1031
