id,methodLandValuation,valuationReportId,valuationReportUId,amountofPremiumPayableA,acquisitionCostofTDRA,acquisitionCostofTDRB,amountsPayabletoStateGovernmentA,amountsPayabletoStateGovernmentB,landPremiumPayableA,landPremiumPayableB,estimatedConstructionCostOfRehabA,estimatedConstructionCostOfRehabB,actualCostofConstructionOfReDevA,actualCostofConstructionOfReDevB,costTowardsClearanceA,costTowardsClearanceB,costofASRLinkedPremiumA,costofASRLinkedPremiumB,subTotalofLandCostA,subTotalofLandCostB,subTotalofLandCostaFlag,subTotalofLandCostbFlag,estCostofConstructasCertifybyEngA,actualCostofConstructIncurredAndPaidB,onSiteExpenditureforDevelopmentA,onSiteExpenditureforDevelopmentB,paymentofTaxesA,paymentofTaxesB,interestPayabletoFinanceA,interestPayabletoFinanceB,subTotofDevelopCostA,subTotofDevelopCostB,subTotofDevelopCostaFlag,subTotofDevelopCostbFlag,totalEstimatedCostofTheRealEstateProject,totalCostIncurredandPaid,totalCostIncurredandPaidFlag,perofcompletionofConstructionWork,proportionoftheCostB,amtWithdrawnfromDesigAccount,amtWithdrawnTillDateofThisCerti,amtWithdrawnTillDateofThisCertiFlag,netAmtWithdrawfromDesigBnkAccUnderCerti,promotersName,projectsName,verificationAccTillDate,nameofCA,nameofCAFirm,partnerMemShipNo,memshipDate,place,estBalCosttoCompleteProject,estBalCosttoCompleteProjectFlag,balUnbookedAreatoBeCerti,estReceivablesofOngoingProjectFlag,amttobeDepositedinDesigAccFlag,caUdiNumber,notesToCertificate,caFrnNo,caDesignation,formThreeBankDtl,loanDtLList,physProgressList,mortgageDeedList,formThreeCertiId,formThreeCertiUId,isApplicable,isVariation,underRedevelopment,createdOn,projectRegID,acquisitionCostofLandA_new,acquisitionCostofLandB_new,amountofPremiumPayableB_new,balAmtofReceivablesfromBookedAptmnts_new,estAmtofSalesProceedsinRespectofUnbookedAptmnts_new,estReceivablesofOngoingProject_new,amttobeDepositedinDesigAcc_new,acquisitionCostofLandA,acquisitionCostofLandB,amountofPremiumPayableB,balAmtofReceivablesfromBookedAptmnts,estAmtofSalesProceedsinRespectofUnbookedAptmnts,estReceivablesofOngoingProject,amttobeDepositedinDesigAcc
15518, , , ,0,0,0,3075000,3075000,0,0,0,0.0,0.0,0,0,0,0,0,176599000,176599000, , ,2085200000,2109170000,250000000,279653000,0,0,140000000,168972000,2475200000,2475200000, , ,2651800000,2651800000, ,100.0,100.0,2651800000,1684320000, ,967474000,Shrinivas Organisors Pvt Ltd,SUPER CITY PHASE 1,2019-05-23,Rikin Jayantilal Shah,Rikin J Shah & Co,100473.0,2019-05-25 00:00:00,AHMEDABAD,0, ,18588.8, , , , , , ,"{'formThreeBIdPk': None, 'formThreeBbankName': 'Axis Bank', 'formThreeBbankCode': 'AB', 'formThreeBbankBranch': 'ASHRAMROAD , AHEMDABAD  BR', 'formThreeBaccountNumber': '917020040844067', 'formThreeBifscCode': 'UTIB0002642', 'formThreeBOpeningBal': '9200499.00', 'formThreeBOpeningBalDate': '2019-02-28 00:00:00', 'formThreeBDeposit': '92088578', 'formThreeBWithdrawals': '101201088', 'formThreeBClosingBal': '87989', 'closingBalanceDate': '2019-05-23 00:00:00', 'form3bankPassbookId': None, 'form3bankPassbookUid': None, 'stateCode': 'GJ', 'stateName': 'Gujarat', 'bankModel': 110, 'districtCode': 'AHME', 'districtName': 'Ahmedabad', 'entryType': 'QTR', 'status': 'APPROVED', 'accountHolderName': None, 'accountType': None, 'createdOn': None, 'id': 23718}",[],[],[],150370.0,1UBK01ICH00CHC847H32GFI3MDEAVZQHHFQB4J2KK2GN0J1TC1,0, ,NO, ,198, , , , , , , ,173524000,173524000,0,412725000,1177200000,1589920000,70
8775, , , ,295000000,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,356186000,356186000, , ,1360000000,888855000,336500000,275776000,159500000,90118200,109000000,91237200,1965000000,1345990000, , ,2321190000,1702170000, ,100.0,73.33,1702170000,1701990000, ,186597,Synthesis Corporation,THE FIRST,2018-11-02,NARESH S SHAH,N S SHAH & ASSOCIATES,42658.0,2018-11-02 00:00:00,AHMEDABAD,619014000, ,12936.1, , , , , , ,"{'formThreeBIdPk': None, 'formThreeBbankName': 'HDFC', 'formThreeBbankCode': 'HDFC', 'formThreeBbankBranch': 'PRAHLADNAGAR', 'formThreeBaccountNumber': '08902320000575', 'formThreeBifscCode': 'HDFC0000890', 'formThreeBOpeningBal': '1034131.00', 'formThreeBOpeningBalDate': '2018-09-24 00:00:00', 'formThreeBDeposit': '335501286', 'formThreeBWithdrawals': '336535417', 'formThreeBClosingBal': '0', 'closingBalanceDate': '2018-11-02 00:00:00', 'form3bankPassbookId': None, 'form3bankPassbookUid': None, 'stateCode': 'GJ', 'stateName': 'Gujarat', 'bankModel': 123, 'districtCode': 'AHME', 'districtName': 'Ahmedabad', 'entryType': 'QTR', 'status': 'APPROVED', 'accountHolderName': None, 'accountType': None, 'createdOn': None, 'id': 13056}",[],[],[],89985.0,5TRPSJ2UMNXW9I7WNUEBZSRCF85Z8C1H4LMW84TTDBOJHIX0GT,0, ,NO, ,312, , , , , , , ,61186500,61186500,295000000,182897000,375147000,558044000,100
10921, , , ,597700000,0,0,169100000,169098743,0,0,0,0.0,0.0,0,0,0,0,0,4456600000,4456600000, , ,1762000000,1449860000,0,0,0,0,332900000,416097000,2094900000,1865950000, , ,6551500000,6322550000, ,100.0,96.51,6322550000,2188650000, ,4133900000,Essem Infra Private Limited,MAPLE TREE,2019-01-05,JATIN PARIKH,JATIN PARIKH AND ASSOCIATES,33811.0,2019-01-29 00:00:00,AHMEDABAD,228947000, ,16948.9, , , , , , ,"{'formThreeBIdPk': None, 'formThreeBbankName': 'Axis Bank', 'formThreeBbankCode': 'AB', 'formThreeBbankBranch': 'S.G. HIGHWAY BRANCH', 'formThreeBaccountNumber': '917020050820824', 'formThreeBifscCode': 'UTIB0000297', 'formThreeBOpeningBal': '0.00', 'formThreeBOpeningBalDate': '2018-11-25 00:00:00', 'formThreeBDeposit': '94799505', 'formThreeBWithdrawals': '94799505', 'formThreeBClosingBal': '0', 'closingBalanceDate': '2019-01-05 00:00:00', 'form3bankPassbookId': None, 'form3bankPassbookUid': None, 'stateCode': 'GJ', 'stateName': 'Gujarat', 'bankModel': 110, 'districtCode': 'AHME', 'districtName': 'Ahmedabad', 'entryType': 'QTR', 'status': 'APPROVED', 'accountHolderName': None, 'accountType': None, 'createdOn': None, 'id': 16197}",[],[],[],109485.0,6MEY7TSTILA7BXWR1366231SLO08CGF2X2INLVUDSCKL1WV26J,0, ,NO, ,344, , , , , , , ,3689800000,3701180000,629604000,2842230000,1982630000,4824860000,70
403, , , ,126902000,0,0,17797600,17797600,0,0,0,0.0,0.0,0,0,0,0,0,1342130000,1342130000, , ,1600000000,1494330000,55000000,68650800,0,0,38098088,49863600,1693100000,1612850000, , ,3035230000,2954980000, ,100.0,97.36,2954980000,1855280000, ,1099690000,HN SAFAL REALTECH LLP,Sumel-8,2017-12-05,MANOJ AGRAWAL,M. V. AGRAWAL & CO.,110542.0,2017-12-07 00:00:00,AHMEDABAD,80248900, ,29904.0, , , , , , ,"{'formThreeBIdPk': None, 'formThreeBbankName': 'Axis Bank', 'formThreeBbankCode': 'AB', 'formThreeBbankBranch': 'USMANPURA', 'formThreeBaccountNumber': '917020049695796', 'formThreeBifscCode': 'UTIB0002893', 'formThreeBOpeningBal': '0', 'formThreeBOpeningBalDate': '2017-07-01 00:00:00', 'formThreeBDeposit': '17231684', 'formThreeBWithdrawals': '17000177', 'formThreeBClosingBal': '231507', 'closingBalanceDate': '2017-12-05 00:00:00', 'form3bankPassbookId': None, 'form3bankPassbookUid': None, 'stateCode': 'GJ', 'stateName': 'Gujarat', 'bankModel': 110, 'districtCode': 'AHME', 'districtName': 'Ahmedabad', 'entryType': 'QTR', 'status': 'APPROVED', 'accountHolderName': None, 'accountType': None, 'createdOn': None, 'id': 406}",[],[],[],5485.0,EW31QJO2SBYTGQ6YOZKY5UV03Y0AGYMLGRALX3GDZYG68GAILI,0, ,NO, ,389, , , , , , , ,1197430000,1197430000,126902000,890747000,1906260000,2797010000,70
18311, , , ,35695000,188300000,188300000,64900650,64900650,0,0,0,0.0,0.0,0,0,0,0,0,1388900000,1388900000, , ,1208500000,1108440000,160300000,88096100,0,4488900,0,0,1368800000,1201030000, , ,2757700000,2589920000, ,100.0,93.92,2589920000,1893300000, ,696623000,FARPOINT PROPERTIES LLP,ONE42,2019-05-20,Amar Hemendrakumar Chokshi,A H CHOKSHI & CO,140523.0,2011-12-13 00:00:00,Ahmedabad,167777000, ,3318.12, , ,19140523AAAAAC3303,"1. Estimated Cost is as certified by the Management
2. Actual Cost incurred is taken from the unaudited provisional books of accounts
3. Total Proposed / Booked Parking is as certified by the Management
",,Proprietor,"{'formThreeBIdPk': None, 'formThreeBbankName': 'Kotak Mahindra Bank', 'formThreeBbankCode': 'KOTAK', 'formThreeBbankBranch': 'Chandan House Mithakali', 'formThreeBaccountNumber': '3511829153', 'formThreeBifscCode': 'KKBK0000812', 'formThreeBOpeningBal': '96255.00', 'formThreeBOpeningBalDate': '2019-05-20 00:00:00', 'formThreeBDeposit': '0', 'formThreeBWithdrawals': '0', 'formThreeBClosingBal': '96255', 'closingBalanceDate': '2019-05-20 00:00:00', 'form3bankPassbookId': None, 'form3bankPassbookUid': None, 'stateCode': 'GJ', 'stateName': 'Gujarat', 'bankModel': 151, 'districtCode': 'AHME', 'districtName': 'Ahmedabad', 'entryType': 'QTR', 'status': 'APPROVED', 'accountHolderName': 'Farpoint Properties LLP One42 RERA Account', 'accountType': None, 'createdOn': None, 'id': 28059}",[],"[{'id': 1611, 'reason': '', 'createdOn': '2019-08-03T17:57:24.000+0530', 'modifiedOn': None}]",[],181309.0,MJE04BZ9IN3BAZFUPLAK7S5U016V7TE2VE2NHLDACUSNUDKN63,0,YES,NO, ,475, , , , , , , ,1100000000,1100000000,35695000,603818000,633300000,1237120000,70
75597,Indexed Value, , ,118685000,69995122,69995122,0,0,0,0,0, , ,0,0,0,0,0,2488740000,2488740000,0.0,0.0,1979660000,1941230000,129612060,125413000,0,0,0,0,2109280000,2066640000,0.0,1.0,4598020000,4555390000,1.0,100.0,0.99,4552040000,4524590000,1.0,27449800, , , , , , , , ,42631400,1.0,10622.8,1.0,0.0, , , , ,"{'formThreeBIdPk': None, 'formThreeBbankName': 'Yes Bank', 'formThreeBbankCode': None, 'formThreeBbankBranch': 'CG Road, Ahmedabad', 'formThreeBaccountNumber': '000766300000051', 'formThreeBifscCode': 'YESB0000007', 'formThreeBOpeningBal': '754558', 'formThreeBOpeningBalDate': '15-Mar-2023', 'formThreeBDeposit': '499131090', 'formThreeBWithdrawals': '498379762', 'formThreeBClosingBal': '1505886', 'closingBalanceDate': '15-Mar-2023', 'form3bankPassbookId': 1556897, 'form3bankPassbookUid': '4SPPtcWfL6eihq1aHuq0TPG8XaazdEkEMlPkhgtgAczDI81DHasWSyXfH1Rgd3jgaDPUAhpmLwh0fm3fK7aDs9jUI3qZdilhMfaQtEXp87hEi3', 'stateCode': None, 'stateName': 'Gujarat', 'bankModel': None, 'districtCode': None, 'districtName': 'Ahmedabad', 'entryType': None, 'status': None, 'accountHolderName': 'APPLEWOODS ESTATE PRIVATE LIMITED VILLA RERA ACCOUNT', 'accountType': None, 'createdOn': '2023-07-06T13:55:18.411+0530', 'id': 97815}",[],[],[], , ,0, ,NO,2023-07-06 13:55:18,728, , , , , , , ,2300060000,2300060000,118685000,232353000,982225000,1214580000,70
16990, , , ,206965000,80000000,50000000,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1697500000,1667500000, , ,2003190000,1977810000,127436534,127437000,6500000,6500000,106965108,106965000,2244090000,2218710000, , ,3941580000,3886200000, ,100.0,98.59,3886200000,2794150000, ,1092050000,SKZ DEVELOPERS LLP,PAARIJAT ECLAT AND PRIVILON,2019-06-15,PATEL DIVYANG NITINCHANDRA,DIVYANG N PATEL AND COMPANY,48604.0,1994-09-27 00:00:00,AHMEDABAD,55380000, ,10750.8, , ,19048604AAAAAK5961,FORM-3 RERA CERTIFICATE,114712W,Proprietor,"{'formThreeBIdPk': None, 'formThreeBbankName': 'ICICI Bank', 'formThreeBbankCode': 'ICICI Bank', 'formThreeBbankBranch': 'Bodakdev Branch', 'formThreeBaccountNumber': '777705500501', 'formThreeBifscCode': 'ICIC0002308', 'formThreeBOpeningBal': '59058.00', 'formThreeBOpeningBalDate': '2018-06-15 00:00:00', 'formThreeBDeposit': '1504971252', 'formThreeBWithdrawals': '1504843000', 'formThreeBClosingBal': '187310', 'closingBalanceDate': '2019-06-15 00:00:00', 'form3bankPassbookId': None, 'form3bankPassbookUid': None, 'stateCode': 'GJ', 'stateName': 'Gujarat', 'bankModel': 125, 'districtCode': 'AHME', 'districtName': 'Ahmedabad', 'entryType': 'QTR', 'status': 'APPROVED', 'accountHolderName': 'SKZ DEVELOPERS LLP RERA ACCOUNT', 'accountType': None, 'createdOn': None, 'id': 25899}","[{'frmThrLoanDlsId': 80, 'formOneBIdPk': 16990, 'lenderName': 'STATE BANK OF INDIA', 'loanAmountTaken': '500000000', 'loanAgreement': None, 'loanUploadPDFID': 164737, 'loanUploadPDFUID': 'C4YFTD08NPKFD8D6A4YTFXPOFK4T5UD6BDRLJ9LDA8FK8NRQH0', 'totalUnitMortage': '187', 'mortgageDeedPDF': '164738', 'mortgageDeedPDFId': None, 'mortgageDeedPDFUId': None, 'loanDisbursalReceived': '500000000', 'loanRepaid': '499992659', 'loanBalance': '7341', 'createdOn': None}]","[{'id': 270, 'reason': '', 'createdOn': '2019-06-29T19:29:52.000+0530', 'modifiedOn': None}]",[],164739.0,EIVI7U6OWDJIMBGLAB32HXNCQESSOKRBT4QRYXR2UFBHUTDQSQ,0,YES,NO, ,788, , , , , , , ,1410530000,1410530000,206965000,530706000,938783000,1469490000,70
109987, , , ,0,0,0,22500000,7960663,0,0,0,0.0,0.0,0,0,0,0,0,800941000,786402000, , ,2643200000,1483260000,381803116,293677000,23673800,47943300,1723500000,1910490000,4772180000,3735370000, , ,5573120000,4521780000, ,0.0,81.14,4521780000,4488590000, ,33182300,WTC Noida Development Company Pvt Ltd,"WTC GIFT  Tower A, B & D",2023-03-29,Naveen  Pandey,Bedi Saxena and Company,531948.0,2014-01-09 00:00:00,Delhi,1051340000, ,484.89, , ,23531948BGXOSX4816,"1. The estimated costs mentioned in Column A is as provided by the management. The estimates should not be construed as certification of forecasts or estimates. The preparation of the accompanying Statement is the responsibility of the Management. This responsibility includes designing, implementing and maintaining internal control relevant to the preparation and presentation of the Statement, and applying an appropriate basis of preparation; and making estimates that are reasonable in the circumstances.	
2. The details mentioned in Annexure A such as carpet area, booking status, unit consideration, date of agreement to sale, encumbrance status, name, KYC and mobile numbers of allottees are as provided by the management. Amount received in case of few cancelled units have not been refunded and unidentified receipts are unaccounted in the books and hence are not considered in the Annexure. Amounts received in excess of agreement value as explained by the management is for other charges and hence not considered in amount received in Annexure.		
3. Interest is paid as a part of agreement as an assured return. As provided by management, this cost is incurred to finance the project as a part of arrangement with the allottees. Assured return cost for Towers A and D are taken upto date of OC permission.
4. The certificate is addressed to and provided to the promoters of the project solely for the purpose to enable comply with requirement of RERA , and should not be used by any other person or for any other purpose. Accordingly, we do not accept or assume any liability or any duty of care for any other purpose or to any other person to whom this certificate is shown or into whose hands it may come without our prior consent in writing. 
5. Where lease deed has been registered directly, such date has been considered in the column of agreement to sale in annexure.	
6. Few units were previously booked and then re-booked after cancellation as per management. However, refund for cancelled units in few cases are not made. Details of new allottees are provided by the management in the Annexure.",000776C,Partner,"{'formThreeBIdPk': None, 'formThreeBbankName': 'Axis Bank', 'formThreeBbankCode': 'AB', 'formThreeBbankBranch': 'Jasola, New Delhi', 'formThreeBaccountNumber': '918020005932432', 'formThreeBifscCode': 'UTIB0001148', 'formThreeBOpeningBal': '550998.00', 'formThreeBOpeningBalDate': '2023-03-20 00:00:00', 'formThreeBDeposit': '479398', 'formThreeBWithdrawals': '657747', 'formThreeBClosingBal': '372649', 'closingBalanceDate': '2023-03-29 00:00:00', 'form3bankPassbookId': None, 'form3bankPassbookUid': None, 'stateCode': 'DL', 'stateName': 'Delhi', 'bankModel': 110, 'districtCode': 'SDEL', 'districtName': 'South Delhi', 'entryType': 'QTR', 'status': 'APPROVED', 'accountHolderName': 'WTC GIFT TOWER A B AND D-RERA A/C', 'accountType': None, 'createdOn': None, 'id': 132205}","[{'frmThrLoanDlsId': 57990, 'formOneBIdPk': 109987, 'lenderName': 'Various Lenders', 'loanAmountTaken': '5945117013', 'loanAgreement': None, 'loanUploadPDFID': 972200, 'loanUploadPDFUID': '70CS2CQG8Q4TCE4FMLLQKRB6ETM8WH326BA0TYE6N3JDI7M2OJ', 'totalUnitMortage': '0', 'mortgageDeedPDF': '972201', 'mortgageDeedPDFId': 972201, 'mortgageDeedPDFUId': 'HGNWYGZRDNR5L2I9FWS13SGH2KMOTLO014TCUHV1XY6PTJ7KMC', 'loanDisbursalReceived': '5945117013', 'loanRepaid': '5945117013', 'loanBalance': '0', 'createdOn': None}]","[{'id': 89701, 'reason': '', 'createdOn': '2023-06-27T18:39:08.000+0530', 'modifiedOn': None}]",[],972215.0,3JRY51JWEBIZED5DOYB2MJZJ9SYEZJE0A5UV3VVULEF2MO5M4I,0,YES,NO, ,978, , , , , , , ,778441000,778441000,0,864004000,76559700,940563000,100
107720, , , ,336730000,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,777536000,718683000, , ,2545470000,2446990000,122182622,82281100,0,0,407275400,672569000,3074930000,3074930000, , ,3852470000,3793610000, ,100.0,98.47,3793610000,94451200, ,3699160000,Raghuvir Developers and Builders,Raghuvir Scarlett,2022-06-29,DILIPKUMAR CHANABHAI TIMBADIYA,ASODARIA ASSOCIATES,120549.0,2005-04-15 00:00:00,SURAT,58852300, ,90462.6, , ,22120549ALYILD8548,,100734W,Partner,"{'formThreeBIdPk': None, 'formThreeBbankName': 'Indian Bank', 'formThreeBbankCode': 'IB', 'formThreeBbankBranch': 'ATHWALINES, SURAT', 'formThreeBaccountNumber': '6543584198', 'formThreeBifscCode': 'IDIB000A063', 'formThreeBOpeningBal': '0.00', 'formThreeBOpeningBalDate': '2022-03-31 00:00:00', 'formThreeBDeposit': '0', 'formThreeBWithdrawals': '0', 'formThreeBClosingBal': '0', 'closingBalanceDate': '2022-06-29 00:00:00', 'form3bankPassbookId': None, 'form3bankPassbookUid': None, 'stateCode': 'GJ', 'stateName': 'Gujarat', 'bankModel': 124, 'districtCode': 'SURAT', 'districtName': 'Surat', 'entryType': 'QTR', 'status': 'APPROVED', 'accountHolderName': 'Raghuvir Scarlett', 'accountType': None, 'createdOn': None, 'id': 129938}","[{'frmThrLoanDlsId': 56711, 'formOneBIdPk': 107720, 'lenderName': 'BANK OF BARODA', 'loanAmountTaken': '2250000000', 'loanAgreement': None, 'loanUploadPDFID': 767097, 'loanUploadPDFUID': 'B8RYMOYALIXPD29N1WCMZ3DQGWY2U5056VOHB9RZJNK63SRV5M', 'totalUnitMortage': '789', 'mortgageDeedPDF': '767098', 'mortgageDeedPDFId': 767098, 'mortgageDeedPDFUId': '574IXNS893CET1HVTVCHA313E2P615KBGRGEDDMP5L6HTAD0DN', 'loanDisbursalReceived': '1954000000', 'loanRepaid': '81300000', 'loanBalance': '1872700000', 'createdOn': None}]","[{'id': 87392, 'reason': '', 'createdOn': '2022-06-30T14:05:09.000+0530', 'modifiedOn': None}]",[],767274.0,CD41YD5Z4H65Y4TVLAINXFJSL12TUM5S59U5IN1XZ9YA37ORGK,0,YES,NO, ,983, , , , , , , ,440806000,440806000,277878000,131871000,4549050000,4680920000,70
8270, , , ,148665000,0,0,57020280,57020280,0,0,0,0.0,0.0,0,0,0,0,0,1032020000,1032020000, , ,1993880000,1771620000,142970000,60365900,0,0,950000000,750438000,3086850000,2582420000, , ,4118870000,3614440000, ,100.0,87.75,3614440000,2685830000, ,928616000,HAPPY HOME CORPORATION,HAPPY EXCELENCIA,2018-12-01,MANISH N SUTARWALA,SUTARWALA AND ASSOCIATES,101515.0,2018-12-13 00:00:00,SURAT,504428000, ,8103.29, , , , , , ,"{'formThreeBIdPk': None, 'formThreeBbankName': 'SYNDICATE BANK', 'formThreeBbankCode': 'SB', 'formThreeBbankBranch': 'SME BRANCH SALABATPURA', 'formThreeBaccountNumber': '71703170000073', 'formThreeBifscCode': 'SYNB0007170', 'formThreeBOpeningBal': '4000000.00', 'formThreeBOpeningBalDate': '2018-09-15 00:00:00', 'formThreeBDeposit': '282450110', 'formThreeBWithdrawals': '286450110', 'formThreeBClosingBal': '0', 'closingBalanceDate': '2018-11-30 00:00:00', 'form3bankPassbookId': None, 'form3bankPassbookUid': None, 'stateCode': 'GJ', 'stateName': 'Gujarat', 'bankModel': 133, 'districtCode': 'SURAT', 'districtName': 'Surat', 'entryType': 'QTR', 'status': 'APPROVED', 'accountHolderName': None, 'accountType': None, 'createdOn': None, 'id': 12157}",[],[],[],85279.0,VM34162BXDHGGE9B015Y8C0081DDUC4I43D2KJIYWCP7DK5O5H,0, ,NO, ,1031, , , , , , , ,826336000,826336000,148665000,180695000,679985000,860680000,70
