locId,projectName,promotorName,projectCost,projectType,processType,promotorType,projectStatus,address,subDistrictCode,subDistrictName,districtCode,districtName,waterLevel,projectId,status,coordinates,centroid
100,SUPER CITY PHASE 1,Shrinivas Organisors Pvt Ltd,2861640000,Mixed Development,REG,Company,Ongoing,BHADAJ DENTAL COLLEGE ROADNEAR SCIENCE CITY, ,Kalol,GANDHI,Gandhinagar, ,198,SUCCESS,"[{""locId"": 897, ""lat"": ""23.095769424301377"", ""lang"": ""72.46271869242389""}, {""locId"": 898, ""lat"": ""23.0963812962474"", ""lang"": ""72.46307274401386""}, {""locId"": 899, ""lat"": ""23.096322082955062"", ""lang"": ""72.46389886439044""}, {""locId"": 900, ""lat"": ""23.096568804834316"", ""lang"": ""72.46419927180011""}, {""locId"": 901, ""lat"": ""23.097476737448428"", ""lang"": ""72.4640168815871""}, {""locId"": 902, ""lat"": ""23.097861620074266"", ""lang"": ""72.46398387447528""}, {""locId"": 903, ""lat"": ""23.098305714041594"", ""lang"": ""72.46427355304888""}, {""locId"": 904, ""lat"": ""23.097279361315152"", ""lang"": ""72.4663120319002""}, {""locId"": 905, ""lat"": ""23.096608280292955"", ""lang"": ""72.46608672634295""}, {""locId"": 906, ""lat"": ""23.095147680598675"", ""lang"": ""72.4688333083742""}, {""locId"": 907, ""lat"": ""23.09489108712075"", ""lang"": ""72.46833978191546""}, {""locId"": 908, ""lat"": ""23.094296684594084"", ""lang"": ""72.46840415493182""}, {""locId"": 909, ""lat"": ""23.093862446440305"", ""lang"": ""72.46818957821063""}, {""locId"": 910, ""lat"": ""23.093951267995013"", ""lang"": ""72.4678784419649""}, {""locId"": 911, ""lat"": ""23.09490856324703"", ""lang"": ""72.46766386524371""}, {""locId"": 912, ""lat"": ""23.094997384110208"", ""lang"": ""72.467717509424""}, {""locId"": 913, ""lat"": ""23.095066466963203"", ""lang"": ""72.46725616947344""}, {""locId"": 914, ""lat"": ""23.094780266340994"", ""lang"": ""72.46722398296527""}, {""locId"": 915, ""lat"": ""23.094730921344517"", ""lang"": ""72.46704159275225""}, {""locId"": 916, ""lat"": ""23.094829611319362"", ""lang"": ""72.4668699313753""}, {""locId"": 917, ""lat"": ""23.09388218456864"", ""lang"": ""72.4662047435396""}, {""locId"": 918, ""lat"": ""23.09361571959136"", ""lang"": ""72.4663656760805""}, {""locId"": 919, ""lat"": ""23.093546635992467"", ""lang"": ""72.46637640491656""}, {""locId"": 920, ""lat"": ""23.09570794890187"", ""lang"": ""72.4627286006563""}, {""locId"": 921, ""lat"": ""23.095737555686632"", ""lang"": ""72.46270714298419""}]","[23.095461029853023, 72.46593454099164]"
251,THE FIRST,Synthesis Corporation,2960000000,Commercial,REG,Partnership Firm,Ongoing,"The First Avenue, Beside Keshavbaug Party Plot,Vastrapur, Ahmedabad-380015.", ,Ahmedabad City,AHME,Ahmedabad, ,312,SUCCESS,"[{""locId"": 2348, ""lat"": ""23.030730524477008"", ""lang"": ""72.53014689978045""}, {""locId"": 2349, ""lat"": ""23.030735461324824"", ""lang"": ""72.53008252676409""}, {""locId"": 2350, ""lat"": ""23.030594761091074"", ""lang"": ""72.53093278702181""}, {""locId"": 2351, ""lat"": ""23.030217091316345"", ""lang"": ""72.53085500296038""}, {""locId"": 2352, ""lat"": ""23.02960245000861"", ""lang"": ""72.53082013424319""}, {""locId"": 2353, ""lat"": ""23.030125759251128"", ""lang"": ""72.5297606616823""}, {""locId"": 2354, ""lat"": ""23.030441718564802"", ""lang"": ""72.5299403696863""}, {""locId"": 2355, ""lat"": ""23.030740398172462"", ""lang"": ""72.53002083595675""}]","[23.03039852052578, 72.53031990226191]"
2213,MAPLE TREE,Essem Infra Private Limited,7048500000,Mixed Development,REG,Company,Ongoing,"MAPLE TREEOpp Patel Media, Sun - n - Step Club Road, Nr Surdhara Circle, Thaltej, Ahmedabad - 380059", ,Ahmedabad City,AHME,Ahmedabad, ,344,SUCCESS,"[{""locId"": 17808, ""lat"": ""23.05525168980046"", ""lang"": ""72.52740032240888""}, {""locId"": 17809, ""lat"": ""23.05409173672465"", ""lang"": ""72.52964801356336""}, {""locId"": 17810, ""lat"": ""23.05551823079717"", ""lang"": ""72.52917594477674""}, {""locId"": 17811, ""lat"": ""23.055834130554345"", ""lang"": ""72.5290793852522""}, {""locId"": 17812, ""lat"": ""23.056179645064933"", ""lang"": ""72.52906865641614""}, {""locId"": 17813, ""lat"": ""23.056643620298388"", ""lang"": ""72.52819425627729""}, {""locId"": 17814, ""lat"": ""23.055271433596083"", ""lang"": ""72.52738959357282""}]","[23.055541498119435, 72.52856516746678]"
9411,Sumel-8,HN SAFAL REALTECH LLP,3035230000,Commercial,REG,Limited Liability Partnership,Ongoing,"Bharat Bobin Mill Compound, Near Ajit Mill Char Rasta,", ,Ahmedabad City,AHME,Ahmedabad, ,389,SUCCESS,"[{""locId"": 66098, ""lat"": ""23.022880018483267"", ""lang"": ""72.63148833103513""}, {""locId"": 66099, ""lat"": ""23.02110937069301"", ""lang"": ""72.63230908699369""}, {""locId"": 66100, ""lat"": ""23.020185486924003"", ""lang"": ""72.6328094409382""}, {""locId"": 66101, ""lat"": ""23.020175612455468"", ""lang"": ""72.63363556131479""}, {""locId"": 66102, ""lat"": ""23.020990253678015"", ""lang"": ""72.63360873922464""}, {""locId"": 66103, ""lat"": ""23.021483973235835"", ""lang"": ""72.63368920549509""}, {""locId"": 66104, ""lat"": ""23.022155428933374"", ""lang"": ""72.63389305338022""}, {""locId"": 66105, ""lat"": ""23.02213568028411"", ""lang"": ""72.63332442506906""}, {""locId"": 66106, ""lat"": ""23.0227923213212"", ""lang"": ""72.63339416250345""}, {""locId"": 66107, ""lat"": ""23.022821944149737"", ""lang"": ""72.63306693300363""}, {""locId"": 66108, ""lat"": ""23.02287625265183"", ""lang"": ""72.63224617704508""}, {""locId"": 66109, ""lat"": ""23.022866378380353"", ""lang"": ""72.631511251775""}]","[23.02187272676585, 72.63291469731483]"
1577,ONE42,FARPOINT PROPERTIES LLP,2757600000,Commercial,REG,Limited Liability Partnership,Ongoing,"ONE42, Off Ambli RoadAmbli", ,Ahmedabad City,AHME,Ahmedabad, ,475,SUCCESS,"[{""locId"": 12989, ""lat"": ""23.031071227876392"", ""lang"": ""72.4928579833736""}, {""locId"": 12990, ""lat"": ""23.031140343554707"", ""lang"": ""72.49231617715259""}, {""locId"": 12991, ""lat"": ""23.03121933285795"", ""lang"": ""72.4917421844234""}, {""locId"": 12992, ""lat"": ""23.030755270038455"", ""lang"": ""72.49170195128818""}, {""locId"": 12993, ""lat"": ""23.03021962107408"", ""lang"": ""72.49164562489887""}, {""locId"": 12994, ""lat"": ""23.03011100996459"", ""lang"": ""72.49272655513187""}, {""locId"": 12995, ""lat"": ""23.031058885787257"", ""lang"": ""72.49286066558261""}]","[23.030796527307633, 72.49226444883587]"
1134,APPLEWOODS VILLAS,Applewoods Estate Private Limited,4498020000,Residential/Group Housing,REG,Company,Ongoing,"Applewoods Villas, Applewoods Township, Shantipura Cross RoadSardar Patel Ring Road", ,Sanand,AHME,Ahmedabad, ,728,SUCCESS,"[{""locId"": 9248, ""lat"": ""22.992175887309322"", ""lang"": ""72.45754216317619""}, {""locId"": 9249, ""lat"": ""22.992179591003534"", ""lang"": ""72.45754618648971""}, {""locId"": 9250, ""lat"": ""22.992210455118006"", ""lang"": ""72.45770443682159""}, {""locId"": 9251, ""lat"": ""22.992241319225418"", ""lang"": ""72.45788012151206""}, {""locId"": 9252, ""lat"": ""22.99227094876189"", ""lang"": ""72.45804239515746""}, {""locId"": 9253, ""lat"": ""22.99229564003733"", ""lang"": ""72.45818967668549""}, {""locId"": 9254, ""lat"": ""22.992315393054426"", ""lang"": ""72.45831171719567""}, {""locId"": 9255, ""lat"": ""22.992336380631922"", ""lang"": ""72.45842034666077""}, {""locId"": 9256, ""lat"": ""22.99236230645845"", ""lang"": ""72.45855445711152""}, {""locId"": 9257, ""lat"": ""22.992377121214236"", ""lang"": ""72.45866576878564""}, {""locId"": 9258, ""lat"": ""22.992393170531155"", ""lang"": ""72.45877171604172""}, {""locId"": 9259, ""lat"": ""22.99241292353399"", ""lang"": ""72.45890046207444""}, {""locId"": 9260, ""lat"": ""22.992426503721756"", ""lang"": ""72.45902250258462""}, {""locId"": 9261, ""lat"": ""22.992440083908157"", ""lang"": ""72.45909894554154""}, {""locId"": 9262, ""lat"": ""22.992457367779778"", ""lang"": ""72.45919014064805""}, {""locId"": 9263, ""lat"": ""22.99246847883895"", ""lang"": ""72.45926926581399""}, {""locId"": 9264, ""lat"": ""22.99248576270695"", ""lang"": ""72.45934704987542""}, {""locId"": 9265, ""lat"": ""22.99249687376378"", ""lang"": ""72.45943153945939""}, {""locId"": 9266, ""lat"": ""22.99251292306646"", ""lang"": ""72.4595066413118""}, {""locId"": 9267, ""lat"": ""22.992548725350222"", ""lang"": ""72.45959113089577""}, {""locId"": 9268, ""lat"": ""22.99262671500968"", ""lang"": ""72.45977995325347""}, {""locId"": 9269, ""lat"": ""22.99267239374534"", ""lang"": ""72.45988992382308""}, {""locId"": 9270, ""lat"": ""22.992709430546693"", ""lang"": ""72.45997843672058""}, {""locId"": 9271, ""lat"": ""22.992750171016432"", ""lang"": ""72.4600736551406""}, {""locId"": 9272, ""lat"": ""22.992825479125127"", ""lang"": ""72.4602520220401""}, {""locId"": 9273, ""lat"": ""22.99288967616822"", ""lang"": ""72.46039283801338""}, {""locId"": 9274, ""lat"": ""22.992953873180795"", ""lang"": ""72.46055108834526""}, {""locId"": 9275, ""lat"": ""22.992998317248553"", ""lang"": ""72.46065837670585""}, {""locId"": 9276, ""lat"": ""22.993041526744836"", ""lang"": ""72.46076164175292""}, {""locId"": 9277, ""lat"": ""22.993072390662295"", ""lang"": ""72.4608300380828""}, {""locId"": 9278, ""lat"": ""22.993110661910137"", ""lang"": ""72.46093062092086""}, {""locId"": 9279, ""lat"": ""22.993141525811794"", ""lang"": ""72.46099499393722""}, {""locId"": 9280, ""lat"": ""22.99298720623298"", ""lang"": ""72.46102047492286""}, {""locId"": 9281, ""lat"": ""22.992908194540362"", ""lang"": ""72.46103388596794""}, {""locId"": 9282, ""lat"": ""22.992883503376945"", ""lang"": ""72.46104327369949""}, {""locId"": 9283, ""lat"": ""22.99280202250561"", ""lang"": ""72.46107143689414""}, {""locId"": 9284, ""lat"": ""22.99270696142692"", ""lang"": ""72.46108350683471""}, {""locId"": 9285, ""lat"": ""22.992608012170916"", ""lang"": ""72.46112090974657""}, {""locId"": 9286, ""lat"": ""22.992508012708864"", ""lang"": ""72.46115711956827""}, {""locId"": 9287, ""lat"": ""22.992463568479728"", ""lang"": ""72.4611812594494""}, {""locId"": 9288, ""lat"": ""22.99248702515803"", ""lang"": ""72.46127513676493""}, {""locId"": 9289, ""lat"": ""22.992515420078952"", ""lang"": ""72.46139315396158""}, {""locId"": 9290, ""lat"": ""22.992546284116674"", ""lang"": ""72.46149507790415""}, {""locId"": 9291, ""lat"": ""22.992573444464025"", ""lang"": ""72.46158627301065""}, {""locId"": 9292, ""lat"": ""22.992637641626935"", ""lang"": ""72.46179682641832""}, {""locId"": 9293, ""lat"": ""22.99271294979839"", ""lang"": ""72.46202481418459""}, {""locId"": 9294, ""lat"": ""22.99271171523853"", ""lang"": ""72.46203554302065""}, {""locId"": 9295, ""lat"": ""22.992924271037943"", ""lang"": ""72.46203151970712""}, {""locId"": 9296, ""lat"": ""22.993092170809494"", ""lang"": ""72.46202883749811""}, {""locId"": 9297, ""lat"": ""22.993250193933196"", ""lang"": ""72.46199262767641""}, {""locId"": 9298, ""lat"": ""22.993378587585028"", ""lang"": ""72.46196312337725""}, {""locId"": 9299, ""lat"": ""22.99351068477245"", ""lang"": ""72.46192959576456""}, {""locId"": 9300, ""lat"": ""22.99351932664003"", ""lang"": ""72.46192691355554""}, {""locId"": 9301, ""lat"": ""22.99355142500044"", ""lang"": ""72.46201810866205""}, {""locId"": 9302, ""lat"": ""22.993597103423273"", ""lang"": ""72.4621347847542""}, {""locId"": 9303, ""lat"": ""22.9936366090738"", ""lang"": ""72.46223134427873""}, {""locId"": 9304, ""lat"": ""22.993671176508528"", ""lang"": ""72.46231851607172""}, {""locId"": 9305, ""lat"": ""22.993720558542776"", ""lang"": ""72.46244994431345""}, {""locId"": 9306, ""lat"": ""22.99374401500273"", ""lang"": ""72.46254113941995""}, {""locId"": 9307, ""lat"": ""22.993755125956017"", ""lang"": ""72.4626216056904""}, {""locId"": 9308, ""lat"": ""22.993776113309732"", ""lang"": ""72.46274498730509""}, {""locId"": 9309, ""lat"": ""22.99380697705927"", ""lang"": ""72.46295017629473""}, {""locId"": 9310, ""lat"": ""22.99382549530561"", ""lang"": ""72.46307892232744""}, {""locId"": 9311, ""lat"": ""22.993848951747335"", ""lang"": ""72.46321035056917""}, {""locId"": 9312, ""lat"": ""22.993868704537196"", ""lang"": ""72.46332032113878""}, {""locId"": 9313, ""lat"": ""22.99388845732417"", ""lang"": ""72.46342492729036""}, {""locId"": 9314, ""lat"": ""22.99387981548023"", ""lang"": ""72.46361670523493""}, {""locId"": 9315, ""lat"": ""22.993872408184973"", ""lang"": ""72.46374411016313""}, {""locId"": 9316, ""lat"": ""22.993868704537196"", ""lang"": ""72.46387017398683""}, {""locId"": 9317, ""lat"": ""22.99386129724134"", ""lang"": ""72.46396136909334""}, {""locId"": 9318, ""lat"": ""22.993850186296783"", ""lang"": ""72.4642067912182""}, {""locId"": 9319, ""lat"": ""22.99384524809891"", ""lang"": ""72.46450585752336""}, {""locId"": 9320, ""lat"": ""22.99384524809891"", ""lang"": ""72.46455950170366""}, {""locId"": 9321, ""lat"": ""22.99374401500273"", ""lang"": ""72.46457693606226""}, {""locId"": 9322, ""lat"": ""22.9936551273435"", ""lang"": ""72.46458900600283""}, {""locId"": 9323, ""lat"": ""22.99357858514561"", ""lang"": ""72.46460107594339""}, {""locId"": 9324, ""lat"": ""22.99347956610774"", ""lang"": ""72.46461435934452""}, {""locId"": 9325, ""lat"": ""22.993363518091464"", ""lang"": ""72.4646277703896""}, {""locId"": 9326, ""lat"": ""22.99327463018175"", ""lang"": ""72.46464118143467""}, {""locId"": 9327, ""lat"": ""22.993105553660243"", ""lang"": ""72.46466037103949""}, {""locId"": 9328, ""lat"": ""22.99300925823811"", ""lang"": ""72.46467378208456""}, {""locId"": 9329, ""lat"": ""22.992905555399012"", ""lang"": ""72.46469121644316""}, {""locId"": 9330, ""lat"": ""22.992774895561766"", ""lang"": ""72.46470957717133""}, {""locId"": 9331, ""lat"": ""22.992640328533504"", ""lang"": ""72.46472835263444""}, {""locId"": 9332, ""lat"": ""22.992542942893355"", ""lang"": ""72.46473572870923""}, {""locId"": 9333, ""lat"": ""22.992466400065016"", ""lang"": ""72.46474109312726""}, {""locId"": 9334, ""lat"": ""22.992429363196997"", ""lang"": ""72.46438435932828""}, {""locId"": 9335, ""lat"": ""22.992286153878453"", ""lang"": ""72.46441386362744""}, {""locId"": 9336, ""lat"": ""22.99217903765554"", ""lang"": ""72.46444068571759""}, {""locId"": 9337, ""lat"": ""22.992080272441417"", ""lang"": ""72.46446214338971""}, {""locId"": 9338, ""lat"": ""22.99197903802199"", ""lang"": ""72.46449969431592""}, {""locId"": 9339, ""lat"": ""22.99197163062246"", ""lang"": ""72.46452919861508""}, {""locId"": 9340, ""lat"": ""22.99198150715507"", ""lang"": ""72.4647303642912""}, {""locId"": 9341, ""lat"": ""22.991862988716086"", ""lang"": ""72.46475450417233""}, {""locId"": 9342, ""lat"": ""22.991509901916718"", ""lang"": ""72.46481351277066""}, {""locId"": 9343, ""lat"": ""22.991314839582696"", ""lang"": ""72.46483228823377""}, {""locId"": 9344, ""lat"": ""22.991206052471334"", ""lang"": ""72.46485039314462""}, {""locId"": 9345, ""lat"": ""22.991097409949028"", ""lang"": ""72.46486380418969""}, {""locId"": 9346, ""lat"": ""22.990746790303533"", ""lang"": ""72.4648839207573""}, {""locId"": 9347, ""lat"": ""22.990489997872956"", ""lang"": ""72.4648839207573""}, {""locId"": 9348, ""lat"": ""22.99040728097645"", ""lang"": ""72.46488123854829""}, {""locId"": 9349, ""lat"": ""22.99037024354368"", ""lang"": ""72.46457144340707""}, {""locId"": 9350, ""lat"": ""22.990349255660593"", ""lang"": ""72.46442794522477""}, {""locId"": 9351, ""lat"": ""22.99030646865374"", ""lang"": ""72.46417313536836""}, {""locId"": 9352, ""lat"": ""22.990139800001838"", ""lang"": ""72.46420129856301""}, {""locId"": 9353, ""lat"": ""22.989953377784527"", ""lang"": ""72.46421873292161""}, {""locId"": 9354, ""lat"": ""22.98990646354361"", ""lang"": ""72.46422007402612""}, {""locId"": 9355, ""lat"": ""22.989799054562262"", ""lang"": ""72.46392368992997""}, {""locId"": 9356, ""lat"": ""22.989714012746223"", ""lang"": ""72.46369234940244""}, {""locId"": 9357, ""lat"": ""22.989674505948088"", ""lang"": ""72.46354751011563""}, {""locId"": 9358, ""lat"": ""22.990057227568652"", ""lang"": ""72.46342949291898""}, {""locId"": 9359, ""lat"": ""22.990770815306593"", ""lang"": ""72.46325783154202""}, {""locId"": 9360, ""lat"": ""22.99078809939188"", ""lang"": ""72.46324978491498""}, {""locId"": 9361, ""lat"": ""22.990812790938456"", ""lang"": ""72.46324978491498""}, {""locId"": 9362, ""lat"": ""22.990662172434117"", ""lang"": ""72.4625685038252""}, {""locId"": 9363, ""lat"": ""22.990578221063718"", ""lang"": ""72.4622090878172""}, {""locId"": 9364, ""lat"": ""22.99048686216014"", ""lang"": ""72.46187381169034""}, {""locId"": 9365, ""lat"": ""22.99041278732809"", ""lang"": ""72.46156267544461""}, {""locId"": 9366, ""lat"": ""22.99033488311357"", ""lang"": ""72.46127359501361""}, {""locId"": 9367, ""lat"": ""22.990220867527025"", ""lang"": ""72.4608679109001""}, {""locId"": 9368, ""lat"": ""22.990123335464247"", ""lang"": ""72.46051520041465""}, {""locId"": 9369, ""lat"": ""22.99009508471812"", ""lang"": ""72.46043004027842""}, {""locId"": 9370, ""lat"": ""22.98997903379319"", ""lang"": ""72.46006257764338""}, {""locId"": 9371, ""lat"": ""22.989939527072586"", ""lang"": ""72.45991237393855""}, {""locId"": 9372, ""lat"": ""22.989865307262292"", ""lang"": ""72.45968773893355""}, {""locId"": 9373, ""lat"": ""22.989834442611816"", ""lang"": ""72.45939671925544""}, {""locId"": 9374, ""lat"": ""22.989843084714657"", ""lang"": ""72.45934978059768""}, {""locId"": 9375, ""lat"": ""22.989830738853282"", ""lang"": ""72.45912447504043""}, {""locId"": 9376, ""lat"": ""22.989818392990777"", ""lang"": ""72.458866982975""}, {""locId"": 9377, ""lat"": ""22.989803577954284"", ""lang"": ""72.45859071544646""}, {""locId"": 9378, ""lat"": ""22.989786293742977"", ""lang"": ""72.45835333994864""}, {""locId"": 9379, ""lat"": ""22.989776417049814"", ""lang"": ""72.45827823809623""}, {""locId"": 9380, ""lat"": ""22.989750490726838"", ""lang"": ""72.45806366137504""}, {""locId"": 9381, ""lat"": ""22.989997407886605"", ""lang"": ""72.45796576074599""}, {""locId"": 9382, ""lat"": ""22.99016901504672"", ""lang"": ""72.4579121165657""}, {""locId"": 9383, ""lat"": ""22.990435182707053"", ""lang"": ""72.45784844804461""}, {""locId"": 9384, ""lat"": ""22.990601850994384"", ""lang"": ""72.45780821490939""}, {""locId"": 9385, ""lat"": ""22.99078333400665"", ""lang"": ""72.45776261735614""}, {""locId"": 9386, ""lat"": ""22.99094382898436"", ""lang"": ""72.45772238422092""}, {""locId"": 9387, ""lat"": ""22.990985804562435"", ""lang"": ""72.45771165538486""}, {""locId"": 9388, ""lat"": ""22.99104753333004"", ""lang"": ""72.45770494986232""}, {""locId"": 9389, ""lat"": ""22.99120432427288"", ""lang"": ""72.45769556213077""}, {""locId"": 9390, ""lat"": ""22.99138333733149"", ""lang"": ""72.45768185769691""}, {""locId"": 9391, ""lat"": ""22.991535189602082"", ""lang"": ""72.45765503560676""}, {""locId"": 9392, ""lat"": ""22.991757087927958"", ""lang"": ""72.45761691907467""}, {""locId"": 9393, ""lat"": ""22.99190523607662"", ""lang"": ""72.45759412029804""}, {""locId"": 9394, ""lat"": ""22.99217684059368"", ""lang"": ""72.45754449943126""}]","[22.992043762484055, 72.46152360670072]"
4558,PAARIJAT ECLAT AND PRIVILON,SKZ DEVELOPERS LLP,3988930000,Mixed Development,REG,Limited Liability Partnership,Ongoing,"AMBALI ROAD,NEAR ISCON TEMPLE,OFF S.G.HIGHWAYVIKRAM NAGAR ,AHMEDABAD", ,Ahmedabad City,AHME,Ahmedabad, ,788,SUCCESS,"[{""locId"": 34462, ""lat"": ""23.02889573156265"", ""lang"": ""72.50469833470697""}, {""locId"": 34463, ""lat"": ""23.028893263105065"", ""lang"": ""72.50470101691599""}, {""locId"": 34464, ""lat"": ""23.028861173152407"", ""lang"": ""72.50540912009592""}, {""locId"": 34465, ""lat"": ""23.02859457940421"", ""lang"": ""72.50577390052194""}, {""locId"": 34466, ""lat"": ""23.027824416725373"", ""lang"": ""72.50564515448923""}, {""locId"": 34467, ""lat"": ""23.027683713452898"", ""lang"": ""72.50542789555902""}, {""locId"": 34468, ""lat"": ""23.027718272165"", ""lang"": ""72.50503361083383""}, {""locId"": 34469, ""lat"": ""23.02792068730087"", ""lang"": ""72.50472515679712""}, {""locId"": 34470, ""lat"": ""23.028273678822792"", ""lang"": ""72.50477075435037""}, {""locId"": 34471, ""lat"": ""23.028641480194434"", ""lang"": ""72.50469028807993""}, {""locId"": 34472, ""lat"": ""23.028875983900733"", ""lang"": ""72.50470906354303""}, {""locId"": 34473, ""lat"": ""23.028873515442804"", ""lang"": ""72.50469565249796""}, {""locId"": 34474, ""lat"": ""23.028880920816487"", ""lang"": ""72.50471442796106""}, {""locId"": 34475, ""lat"": ""23.028885857732046"", ""lang"": ""72.50470101691599""}]","[23.028487376698415, 72.50497824237631]"
3140,"WTC GIFT  Tower A, B & D",WTC Noida Development Company Pvt Ltd,3573200000,Commercial,REG,Company,Ongoing,"Block No 51, Road 5EZone 5, GIFT CITY", ,Gandhinagar,GANDHI,Gandhinagar, ,978,SUCCESS,"[{""locId"": 24582, ""lat"": ""23.16302323389244"", ""lang"": ""72.68658788704681""}, {""locId"": 24583, ""lat"": ""23.16300350593502"", ""lang"": ""72.68657715821075""}, {""locId"": 24584, ""lat"": ""23.162431393905695"", ""lang"": ""72.68729599022674""}, {""locId"": 24585, ""lat"": ""23.164127994869624"", ""lang"": ""72.68933446907806""}, {""locId"": 24586, ""lat"": ""23.164739555062905"", ""lang"": ""72.68865855240631""}, {""locId"": 24587, ""lat"": ""23.16307255377328"", ""lang"": ""72.68657715821075""}]","[23.163399706239826, 72.6875052025299]"
4037,Raghuvir Scarlett,Raghuvir Developers and Builders,3852460000,Commercial,REG,Partnership Firm,Ongoing,"Moje: Parvat, Tal.: Surat City, District: SuratBlock No. 65, 67, T.P. No. 19 (Parvat-Magob), O.P. No. 32/2, 373,    F.P. No. 47 + 49", ,Surat City,SURAT,Surat, ,983,SUCCESS,"[{""locId"": 30906, ""lat"": ""21.18367883245629"", ""lang"": ""72.87949157033177""}, {""locId"": 30907, ""lat"": ""21.183703842089205"", ""lang"": ""72.88124305281849""}, {""locId"": 30908, ""lat"": ""21.182528384769398"", ""lang"": ""72.88149249825688""}, {""locId"": 30909, ""lat"": ""21.182468361166098"", ""lang"": ""72.87943792615147""}, {""locId"": 30910, ""lat"": ""21.183676331492762"", ""lang"": ""72.87949157033177""}]","[21.18321115039475, 72.88023132357807]"
666,HAPPY EXCELENCIA,HAPPY HOME CORPORATION,4492300000,Residential/Group Housing,REG,Partnership Firm,Ongoing,"TP-29,FP-80,UNIVERSITY-AIRPORT ROAD, B/H-LALBHAI STADIUM, NEAR RAHULRAJ MALL, VESU, SURAT.", ,Surat City,SURAT,Surat, ,1031,SUCCESS,"[{""locId"": 5329, ""lat"": ""21.147230688136233"", ""lang"": ""72.76850443482965""}, {""locId"": 5330, ""lat"": ""21.14724069445418"", ""lang"": ""72.76850443482965""}, {""locId"": 5331, ""lat"": ""21.147335754440842"", ""lang"": ""72.77040880323023""}, {""locId"": 5332, ""lat"": ""21.14606494747018"", ""lang"": ""72.77046244741052""}, {""locId"": 5333, ""lat"": ""21.145894838623118"", ""lang"": ""72.76851516366571""}, {""locId"": 5334, ""lat"": ""21.147220681817625"", ""lang"": ""72.76850443482965""}]","[21.146831267490366, 72.76914995313257]"
