districtName,regFee,project_cost,project_address,prmtr_com_reg_no,payment_status,payment_token,wfoid,projectCost,projectType,projectRegId,total_est_cost_of_proj,regNo,projectName,districtType,projOrgFDate,extDate,disposed_date,project_ack_no,startDate,endDate,hardcopysubmissionDate,pmtr_email_id,project_status,promoterName,approvedOn,promoterAddress
Surat,1000000,27699400000,"BLOCK NO.177, VILLAGE KHAJOD, TALUKA MAJURA SURAT",U74140GJ2014NPL081370,Paid,PRC00GGNQ4871,7871,27699400000,Commercial,7871,27699400000,PR/GJ/SURAT/SURAT CITY/Others/CAA05247/A1C/EX1/260722,SURAT DIAMOND BOURSE,Surat,2022-06-30 00:00:00,2023-06-30 00:00:00, ,PR/SURAT/SURAT CITY/SUDA/190311/006925,2017-12-05,2023-06-30,2019-02-26 13:30:00,info@sdbbourse.com,New,SDB DIAMOND BOURSE,2019-04-10,"67, 1ST FLOOR, TAPTI EXPORTS, PATEL FALIA, GOTALAWADI, KATARGAM"
Ahmedabad,10000,16045500000,21 MAHADEVNAGAR COOP.HOUS.SOC.LTD NAVRANGPURA,GUJAH103346,Paid,PRCC4ORPS5567,13567,168676000,Residential/Group Housing,13567,168676000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09912/EX1/031023,SAMYAK ARISE,Ahmedabad,2023-06-30 00:00:00,2024-06-30 00:00:00, ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/220204/012276,2021-08-30,2024-06-30,2022-01-07 22:13:12,samyakarise2021@gmail.com,New,SAMYAKTVA  DEVELOPERS,2022-03-19,210 RATANA HIGH STREET NARANPURA
Vadodara,660150,10779400000,"AGORA CITY CENTRE, NEAR RATRI BAZAR SAMA, SANJAYNAGAR ",U45201GJ2006PTC048481,Paid,PRCKVTJ043396,2396,10779400000,Mixed Development,2396,10779400000,PR/GJ/VADODARA/VADODARA/Others/MAA00721/EX2/EX1/171022,AGORA CITY CENTER,Vadodara,2021-06-30 00:00:00,2023-06-30 00:00:00, ,PR/VADODARA/VADODARA/VADODARA TPO/170830/001960,2017-03-21,2023-06-30,2017-08-30 00:00:00,shreebalaji.ashish49@gmail.com,Ongoing,MANAV INFRASTRUCTURE PRIVATE LIMITED,2017-11-15,"4TH FLOOR,SHREE BALAJI MALL, VISAT GANDHINAGAR HIGHWAY MOTERA"
Vadodara,205822,10113600000,"SHRI RAM CORPORATION, BEHIND SHAKTI GREENS OPP. SYNOVE EMPERORS, VASNA BHAYALI ROAD",GUJVA102779,Paid,PRCVA6D3M6959,14959,1011360000,Residential/Group Housing,18005,1011360000,PR/GJ/VADODARA/VADODARA/Others/RAA11322/030323,RATNAM PARK VIEW,Vadodara,2026-06-30 00:00:00, , ,PR/VADODARA/CHHOTA UDAIPUR/GUJRERA/221213/013589,2021-05-21,2027-12-31,2022-10-17 15:09:09,ratnam.parkview@gmail.com,New,SHRI RAM CORPORATION,2023-03-03,"247,260,11 Ratnam Park View Shakti Greens, Vasna Bhayli Road, Padra Road"
Ahmedabad,201015,9111090000,"Karnavati Appartment - 5, Nr. Rishit Residency, Narol-Aslali Road, Vatva",GUJAH201255,Paid,PRC7CYBY34675,8675,921092000,Mixed Development,8675,921092000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA05932/A1M/090321,KARNAVATI APPARTMENT - 5,Ahmedabad,2025-06-30 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GANDHINAGAR TPO/190718/007712,2019-05-15,2025-06-30,2019-07-04 12:06:51,sainathbuildcon13@gmail.com,New,SAINATH BUILDCON,2019-08-23,"Karnavati Appartment -5, Nr. Rishit Residency, 100Ft Road, Opp. Lambha Turning Narol - Aslali Road, Vatva,"
Surat,1000000,8324560000,"TP-33(DUMBHAL),FP-13, NEXT TO MILLENIUM HOUSE NEAR TEXTILE MARKET AREA,BRTS CANAL ROAD,SURAT",GUJSRT172137,Paid,PRC2JTY1X3304,6304,11925000000,Commercial,6304,11925000000,PR/GJ/SURAT/SURAT CITY/SUDA/CAA03028/280618,HAPPY BENCHMARK TEXTILE HUB,Surat,2024-11-20 00:00:00, , ,PR/SURAT/SURAT CITY/SURAT TPO/180601/005415,2018-05-20,2024-11-20,2018-06-01 17:36:04,happybenchmark123@gmail.com,New,HAPPY HOME CORPORATION,2018-06-28,"Shantiniketan, 1st Floor, Near S.D.Jain School University Airport Road, Vesu Cross Road, Surat-395007"
Surat,654367,7568070000,"T.P.S. NO:- 3 (RUNDH), R.S.NO.:- 12/3/1,2,3 + 12/4 + 4/1/P, O.P. NO:- 4+5+36, F.P.:- 12+13+(14+15) PAIKEE SUB PLOT -02, AT: RUNDH, TA: MAJURA, DIST: SURAT ",GUJSR105317,Paid,PRCBUX3SF6508,16508,7568070000,Residential/Group Housing,19406,7568070000,PR/GJ/SURAT/SURAT CITY/SUDA/RAA12270/010923,AVADH CLASSIMA,Surat,2028-03-30 00:00:00, , ,PR/SURAT/SURAT CITY/GUJRERA/230720/015123,2023-06-23,2028-03-31,2023-07-17 16:39:01,avadhclassima@gmail.com,New,AVADH CLASSIMA,2023-09-01,"T.P. NO: 3 (RUNDH), R.S. NO.:- 12/3, O.P.: NO: 5, F.P.: 14+15/P SUB PLOT -01, AT: RUNDH, TA: MAJURA, DIST: SURAT "
Surat,1000000,7114300000,"GLOBALE TEXTILE MARKET UMARWADA, KADODARA ROAD, SURAT",AAC2804,Paid,PRC436KN13109,1109,7110000000,Commercial,1109,7110000000,PR/GJ/SURAT/SURAT CITY/SUDA/CAA00821/241117,GLOBALE TEXTILE MARKET,Surat,2019-12-31 00:00:00, , ,PR/SURAT/SURAT CITY/SURAT TPO/170731/000887,2014-07-22,2019-12-31,2017-07-31 00:00:00,accounts@globale.co.in,Ongoing,GLOBALE INFRASPACE LLP,2017-11-24,"Globale Textile Market Umarwada, Kadodara Road, Surat"
Ahmedabad,477060,7048500000,"MAPLE TREE Opp Patel Media, Sun - n - Step Club Road, Nr Surdhara Circle, Thaltej, Ahmedabad - 380059",U45200GJ2015PTC082484,Paid,PRCV6GXE13344,344,6551500000,Mixed Development,344,6551500000,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00012/240817,MAPLE TREE,Ahmedabad,2019-02-28 00:00:00, , ,PR/AHMEDABAD/AHMADABAD CITY/AHMEDABAD TPO/170730/000243,2015-03-12,2019-02-28,2017-07-30 00:00:00,rera@ganeshhousing.net,Ongoing,Essem Infra Private Limited,2017-08-24,"Ganesh Corporate House 100 Ft Hebatpura - Thaltej Road, Nr. Sola Bridge, Off S.G Highway, Thaltej, Ahmedabad "
Ahmedabad,272581,6412300000,"Bhagwat Elysium, Opp. Shrinand Elite, Nr. Ridham Plaza, Amarjawan Circle, Nikol",GUJAH202220,Paid,PRCRMDVB05003,12003,641230000,Mixed Development,12003,641230000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08616/140621,Bhagwat Elysium,Ahmedabad,2025-03-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/210503/010806,2021-02-24,2025-03-31,2021-04-22 15:11:57,bhagwat.elysium@gmail.com,New,Shreenath Buildcon,2021-06-14,"B/408, SHANTINIKETAN BUSINESS CENTER, NR DOMINOS PIZZA,  GANGOTRI CIRCLE, NIKOL, "
